function	Agabi_varbisH97_2	Acain1	Aciri1_iso	Acrchr1	Amore1	Armcep1	Armosto1	Artbe1	Arxad1	Ascim1	Ascsa1	Aspacu1	Aspbom1	Aspca3	Aspcam1	Aspcl1	Aspeuc1	Asphet1	Aspnov1	Aspoch1	Aspor1	Aspscl1	Aspste1	Aspte1	Aspuda1	Bauco1	Bjead1_1	Blade1	Botbo1	Botdo1_1	Cadsp1	Canalb1	Canca1	Capep1	Capse1	Catan2	Cenge3	Cersu1	Clafu1	Clalu1_2	Clasph1	CocheC4_1	CocheC5_3	Cocim1	Cocsa1	Coere1	Colch1	Colfi1	Colgr1	Color1	Colorb1	Colsi1	Colto1	Corca1	Cryne_JEC21_1	DimcrSC1	Dotse1	EndpusZ1	Erynec1	Eutla1	Fibra1	Fomme1	Fonmo1	Fonnu1	Fusfu1	Fusgr1	Galma1	Gansp1	Glalo1	Glost2	Grocl1	Hanpo2	Hanva1_1	Hebcy2	Hetan2	Hisca1	HypCI4A_1	HypEC38_3	Hyspu1_1	Kazaf1	Kocim1	Kurca1	Linpe1	Lipst1_1	Malgl1	Malsy1_1	Marbr1	Meimi1	Metbi1	Metbi_SCcomb	Micca1	Micld1	Mixos1	Monha1	Mycfi2	Mycgr3	Nakdel1	Neodi1	Neofi1	Neoirr1	Neopa1	Neucr2	Oidma1	Ophnu1	Parbr1	Penant1	Pench1	Pencop1	Pendig1	Penfla1	Pengri1	Penita1	Pennal1	Penox1	Penpol1	Pensol1	Penste1	Pensub1	Phaal1	Phaca1	Phisc1	Phlcen1	Phlrad1	Pirfi3	PleosPC15_2	Pneji1	Pocchl1	Podan3	PosplRSB12_1	Prola1	Psehu1	Pseudest1	Psiser1	Pucst1	Pucst_PST78_1	Punst1	Pycci1	Pyrco1	Pyrtt1	Rhihy1	Rhiir2_1	RhiirA4	RhiirA5	Rhiso1	Rhoto_IFO0559_1	Rhyru1_1	Rozal_SC1	Sacce1	Schoc1	Schpo1	Sclsc1	Sepmu1	Seppo1	SerlaS7_9_2	Settu3	Spapa3	Spipu1	Spore1	Spoth2	Suilu4	Talma1_2	Tapde1_1	Terbo2	Thasp1	Thite2	Torde1	Trave1	Treen1	Treme1	Trias2479	Triat2	Trire2	TriviGv29_8_2	Triver1	Tubma1	Tubme1v2	Uncre1	Ustvir1	Venpi1	Veral1	Verda1	Zygro1	Zymar1	Aspfu1-cluster	Aspni7-cluster	Blugr2-cluster	Lodelo1-cluster	Rhoto_IFO0880_2-cluster	Tubae1-cluster	YarliYB420-cluster
EC:2.3.1.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.22	0	0	0	1	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	4	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	3	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	2	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1
EC:2.3.1.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.24	0	1	2	2	2	3	3	3	2	2	3	3	2	3	2	2	2	2	2	2	2	3	4	2	2	2	2	4	3	2	3	2	2	3	3	2	2	2	2	2	2	3	3	2	2	4	3	5	5	5	3	5	4	4	3	2	2	2	2	3	2	3	2	2	4	3	2	3	4	2	4	2	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2	2	2	3	3	1	2	2	1	2	3	2	3	2	2	5	2	1	3	3	2	3	3	3	3	3	2	3	3	3	3	2	3	2	1	1	0	2	2	2	2	2	2	1	3	4	2	4	2	3	1	2	2	2	2	2	3	2	4	1	2	2	2	3	2	2	1	2	2	1	1	3	2	5	2	2	1	3	1	2	2	2	2	4	3	4	3	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2
EC:2.3.1.26	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	2	2	0	2	1	1	1	0	2	2	1	1	2	2	2	1	1	1	1	0	2	2	2	2	1	1	2	2	0	0	2	1	1	1	1	2	1	1	2	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	1	1	0	1	0	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	1	1	1	2	1	1	0	3	1	2	1	1	1	1	0	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	2	1
EC:2.3.1.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.30	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	3	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	2	0	1	2	1	2	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
EC:2.3.1.31	3	2	2	3	3	4	3	2	2	2	3	3	3	2	2	2	2	2	2	2	2	3	2	2	3	2	2	3	2	4	4	2	2	4	5	2	2	3	2	2	4	2	2	2	2	2	4	4	3	3	3	4	4	3	2	2	3	3	2	3	2	4	5	5	5	3	4	2	3	2	4	2	1	3	2	2	3	3	3	1	2	2	3	3	2	2	2	2	2	2	3	2	2	2	2	2	1	5	2	3	2	2	2	3	1	3	3	3	4	4	3	4	4	2	4	4	3	4	1	2	3	6	6	2	3	0	5	2	3	2	2	3	4	2	3	4	1	1	3	3	2	2	2	2	2	2	0	1	2	2	2	2	2	4	4	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
EC:2.3.1.32	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0	2	2	2	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EC:2.3.1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EC:2.3.1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EC:2.3.1.37	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
EC:2.3.1.39	0	0	1	1	1	0	0	0	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	3	0	1	0	0	1	1	1	1	1	1	2	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
EC:2.3.1.4	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	3	2	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	0	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	1	3	3	3	1	1	2	2	1	0	1	2	1	1	1	1	1	3	2	1	1	2	1	1	4	1	1	1	2	1	0	2	2	2	1	1	1	0	2	2	1	1	1	0	1	1	1	1	1	1	1
EC:2.3.1.41	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	2	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
EC:2.3.1.42	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1
EC:2.3.1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.47	1	1	1	1	1	3	6	2	1	0	0	3	3	4	1	3	4	2	2	1	2	4	2	3	3	1	1	2	1	1	1	0	0	1	2	1	2	1	1	0	1	3	3	1	3	0	0	1	2	1	1	1	1	2	1	0	1	1	1	2	1	2	1	1	3	1	2	1	0	1	0	0	0	2	2	1	1	2	1	0	1	0	0	1	1	1	1	2	0	0	1	1	1	0	2	2	0	2	2	0	0	0	2	1	1	2	2	2	1	2	2	1	1	2	2	2	3	2	0	1	1	1	1	0	1	0	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	2	1	2	0	1	1	1	1	1	1	0	0	0	0	4	1	1	0	1	1	2	2	0	0	1	0	1	2	2	0	1	2	4	1	0	1	0	1
EC:2.3.1.48	31	78	15	4	18	9	7	29	19	33	23	25	6	16	18	23	23	20	20	16	16	19	26	23	6	25	30	37	42	37	33	6	7	6	7	9	29	20	35	10	6	25	21	22	31	15	4	48	38	4	6	5	4	38	32	52	22	6	6	21	23	29	6	6	30	29	49	33	31	31	54	11	11	29	29	25	29	23	28	5	7	6	29	11	11	8	23	18	11	8	30	7	14	46	19	18	7	4	22	7	16	59	24	6	19	6	24	7	7	6	7	6	7	20	6	7	5	6	17	23	24	6	7	38	19	7	6	7	26	5	30	6	7	22	11	24	28	32	37	32	13	16	17	37	38	27	5	5	7	5	24	35	29	17	6	10	19	42	43	7	22	8	36	6	46	5	39	8	21	7	17	25	17	27	24	7	16	5	35	24	29	11	34	17	22	6	15	33	7	6
EC:2.3.1.5	0	1	0	2	1	0	1	1	0	1	1	1	3	2	1	1	3	2	1	0	0	3	1	1	3	2	0	1	0	2	3	0	0	3	1	0	2	0	1	0	1	1	1	1	1	0	1	2	1	1	2	2	2	2	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	2	1	0	1	1	3	0	1	1	1	2	1	2	1	1	2	2	2	3	3	2	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	2	0	1	0	1	1	3	0	0	1	0	0
EC:2.3.1.50	2	2	2	2	2	3	4	2	2	2	2	4	4	3	3	2	3	3	3	3	2	3	3	1	3	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	3	2	1	3	2	3	2	2	4	2	3	3	3	2	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	3	2	2	2	2	1	2	2	1	2	2	2	1	2	1	2	2	2	2	3	2	2	2	2	3	2	2	3	2	2	3	3	3	2	3	2	2	2	2	2	2	2	3	2	1	2	2	2	3	2	3	2	2	2	2	2	2	4	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	2	1	2	2	2
EC:2.3.1.51	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	0	1	2	2	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	2	1	2	1	1	3	2	1	2	1	1	2	1	2	2	2	1	1	1	1	1	5	1	2	2	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	2	1	2	1	1	1	1	1	0	2	2	1	1	1	1	1	1	1	1	2
EC:2.3.1.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.57	1	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	2	1	1	1	0	1	2	1	1	1	1	1	0	1	0	0	1	1	1	1	1	2	2	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	2	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	2	1	1	1	1	0	1	0	2	0	2	1	1	2	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	0	1	1	1	0	0	1	1	0
EC:2.3.1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.61	1	1	1	1	1	1	1	1	1	1	1	0	2	3	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	0	1	1	2	2	2	2	1	0	1	1	1	0	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	0	1	1	1
EC:2.3.1.7	3	3	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	1	5	2	2	3	2	2	3	4	2	4	2	2	2	2	2	2	2	5	2	2	2	2	2	2	3	2	3	5	2	2	1	2	3	4	2	2	2	2	3	4	2	2	2	2	0	3	3	2	2	2	2	2	3	3	7	2	2	2	2	3	2	2	2	4	4	2	2	2	4	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	4	2	6	4	0	3	0	2	2	3	2	3	2	4	3	9	4	3	2	2	5	4	4	4	3	4	2	1	2	0	0	2	2	2	3	2	2	3	3	2	5	2	2	2	1	2	2	3	2	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	4	2	2
EC:2.3.1.74	0	0	0	0	1	0	0	1	0	1	1	1	4	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	2	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	2	1	1	1	1	3	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	2	1	2	1	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0
EC:2.3.1.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.79	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	2	1	0	0	1	2	3	2	2	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	2	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	2	1	0	0	0	0	0	0	2	0	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	2	1	0	0	1	0	1	2	3	0	1	3	1	0	1	0	0	0
EC:2.3.1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:2.3.1.85	0	1	1	19	1	2	2	0	0	0	0	1	22	1	1	1	2	1	1	0	0	1	1	2	21	0	0	0	2	1	0	0	0	4	2	1	2	0	4	0	5	1	1	1	3	0	23	1	2	18	18	24	25	2	0	0	0	10	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	13	1	0	1	0	1	6	0	13	0	15	11	14	20	18	13	0	19	22	12	19	0	0	6	0	1	1	0	0	16	13	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	1	2	0	1	0	0	0
